gameid,url,price,currency,enabled,show_from
5620,https://www.usedgames.ca/vietnam-1965-1975.html?source=bgg,44.95,CAD,1,1
89478,https://www.usedgames.ca/imaginiff.html?source=bgg,14.95,CAD,1,1
2073,https://www.usedgames.ca/sixth-fleet.html?source=bgg,49.95,CAD,1,1
3712,https://www.usedgames.ca/tac-air.html?source=bgg,49.95,CAD,1,1
1681,https://www.usedgames.ca/tokyo-express.html?source=bgg,99.95,CAD,1,1
2407,https://www.usedgames.ca/sorry.html?source=bgg,9.95,CAD,1,1
32253,https://www.usedgames.ca/caveman.html?source=bgg,39.95,CAD,1,1
6676,https://www.usedgames.ca/sports-franchise.html?source=bgg,29.95,CAD,1,1
13,https://www.usedgames.ca/the-settlers-of-catan-board-game-200334291487-used.html?source=bgg,29.95,CAD,1,1
320,https://www.usedgames.ca/scrabble.html?source=bgg,14.95,CAD,1,1
69973,https://www.usedgames.ca/ticked-off.html?source=bgg,14.95,CAD,1,1
1295,https://www.usedgames.ca/pente.html?source=bgg,19.95,CAD,1,1
699,https://www.usedgames.ca/hero-quest.html?source=bgg,199.95,CAD,1,1
23694,https://www.usedgames.ca/pirates-of-the-caribbean.html?source=bgg,14.95,CAD,1,1
10183,https://www.usedgames.ca/napoleon-at-leipzig.html?source=bgg,59.95,CAD,1,1
4230,https://www.usedgames.ca/napoleans-last-battles.html?source=bgg,59.95,CAD,1,1
6813,https://www.usedgames.ca/operation-market-garden.html?source=bgg,14.95,CAD,1,1
626,https://www.usedgames.ca/war-and-peace.html?source=bgg,24.95,CAD,1,1
2953,https://www.usedgames.ca/trivial-pursuit.html?source=bgg,19.95,CAD,1,1
16131,https://www.usedgames.ca/trivial-pursuit-34439241.html?source=bgg,29.95,CAD,1,1
4492,https://www.usedgames.ca/trivial-pursuit-34441214.html?source=bgg,29.95,CAD,1,1
1299,https://www.usedgames.ca/trivial-pursuit-genus-4-card-set.html?source=bgg,9.95,CAD,1,1
27645,https://www.usedgames.ca/apples-to-apples-expansion-one.html?source=bgg,9.95,CAD,1,1
5650,https://www.usedgames.ca/pass-out-25th-anniversary-edition.html?source=bgg,19.95,CAD,1,1
5650,https://www.usedgames.ca/pass-out.html?source=bgg,14.95,CAD,1,1
5312,https://www.usedgames.ca/family-feud.html?source=bgg,19.95,CAD,1,1
18179,https://www.usedgames.ca/think-twice.html?source=bgg,24.95,CAD,1,1
9356,https://www.usedgames.ca/pacific-fleet.html?source=bgg,59.95,CAD,1,1
1498,https://www.usedgames.ca/paydirt.html?source=bgg,99.95,CAD,1,1
175563,https://www.usedgames.ca/gross-abulary.html?source=bgg,19.95,CAD,1,1
1711,https://www.usedgames.ca/righthofens-war-the-air-war.html?source=bgg,39.95,CAD,1,1
5622,https://www.usedgames.ca/pacific-war-the-struggle-against-japan-1941-1945-3.html?source=bgg,49.95,CAD,1,1
8284,https://www.usedgames.ca/assault-tactical-combat-in-europe-1985.html?source=bgg,34.95,CAD,1,1
134567,https://www.usedgames.ca/auction-house-and-club-house-golf.html?source=bgg,29.95,CAD,1,1
4921,https://www.usedgames.ca/3rd-fleet.html?source=bgg,199.95,CAD,1,1
2073,https://www.usedgames.ca/sixth-fleet-34574605.html?source=bgg,39.95,CAD,1,1
5485,https://www.usedgames.ca/atlantic-wall-the-invasion-of-europe-june-1944.html?source=bgg,179.95,CAD,1,1
16701,https://www.usedgames.ca/birthday-gamesake.html?source=bgg,19.95,CAD,1,1
1923,https://www.usedgames.ca/mindtrap.html?source=bgg,9.95,CAD,1,1
1417,https://www.usedgames.ca/alibi.html?source=bgg,9.95,CAD,1,1
200447,https://www.usedgames.ca/family-feud-dvd-game.html?source=bgg,4.95,CAD,1,1
7918,https://www.usedgames.ca/eagle-eye-agency.html?source=bgg,49.95,CAD,1,1
1294,https://www.usedgames.ca/clue.html?source=bgg,39.95,CAD,1,1
67488,https://www.usedgames.ca/too-bad.html?source=bgg,14.95,CAD,1,1
54152,https://www.usedgames.ca/who-wants-to-be-a-millionaire.html?source=bgg,24.95,CAD,1,1
166532,https://www.usedgames.ca/cubo.html?source=bgg,4.95,CAD,1,1
16013,https://www.usedgames.ca/endeavor-eleven.html?source=bgg,59.95,CAD,1,1
2921,https://www.usedgames.ca/the-game-of-life-2007.html?source=bgg,29.95,CAD,1,1
4574,https://www.usedgames.ca/slang-teasers-34678944.html?source=bgg,44.95,CAD,1,1
4574,https://www.usedgames.ca/slang-teasers-1st-edition.html?source=bgg,39.95,CAD,1,1
13137,https://www.usedgames.ca/kids-battle-the-grown-ups.html?source=bgg,29.95,CAD,1,1
4574,https://www.usedgames.ca/slang-teasers-1st-edition.html?source=bgg,44.95,CAD,1,1
14092,https://www.usedgames.ca/scribbage.html?source=bgg,9.95,CAD,1,1
4279,https://www.usedgames.ca/flux.html?source=bgg,34.95,CAD,1,1
349676,https://www.usedgames.ca/iq-2000-transcanada-trivia.html?source=bgg,34.95,CAD,1,1
41095,https://www.usedgames.ca/clue-secrets-and-spies.html?source=bgg,19.95,CAD,1,1
4061,https://www.usedgames.ca/tiles.html?source=bgg,14.95,CAD,1,1
9794,https://www.usedgames.ca/rummoli-deluxe.html?source=bgg,9.95,CAD,1,1
30660,https://www.usedgames.ca/chess-3-d.html?source=bgg,39.95,CAD,1,1
17223,https://www.usedgames.ca/world-of-warcraft-board-game.html?source=bgg,119.95,CAD,1,1
320,https://www.usedgames.ca/scrabble-original.html?source=bgg,34.95,CAD,1,1
112445,https://www.usedgames.ca/disaster-looms.html?source=bgg,29.95,CAD,1,1
