"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Item","Remaining","Total Cost","Avg. Cost","Sale Price","Margin"
"210000002209","792141981002","","https://www.usedgames.ca/railroad-dynasty-used-board-game-1997.html?source=bgg","4067","Railroad Dynasty (1997) (used)","1","$0.01","$0.01","$24.95","99.96%"
"210000002210","","","https://www.usedgames.ca/touring-used-board-games-1965.html?source=bgg","2253","Touring (1906) (used) (Made in 1965)","1","$0.01","$0.01","$14.95","99.93%"
"210000002212","","","https://www.usedgames.ca/copy-of-touring-used-board-games-1965.html?source=bgg","2253","Touring (1906) (used) (Made in 1965) (R)","1","$0.01","$0.01","$18.95","99.95%"
"210000002214","","","https://www.usedgames.ca/copy-of-touring-used-board-games-1965-r.html?source=bgg","2253","Touring (1906) (used) (Made in 1957)","1","$0.01","$0.01","$9.95","99.9%"
"210000002215","4005556803200","","https://www.usedgames.ca/word-wheel-used-board-game-1974.html?source=bgg","16539","Word Wheel (1974) (used)","1","$0.01","$0.01","$9.95","99.9%"
"210000002216","047754990003","","https://www.usedgames.ca/poker-keeno-collectors-used-card-game-2003.html?source=bgg","8784","Po-Ke-No (1930)  (Collectors ed) (used) (Made in 2003)","1","$0.01","$0.01","$14.95","99.93%"
"210000002219","","","https://www.usedgames.ca/copy-of-pit-used-card-game-1919.html?source=bgg","140","Pit (1903) (used) (Made in 1965)","1","$0.01","$0.01","$7.95","99.87%"
"210000002221","62467300002","","https://www.usedgames.ca/stops-canadian-edition-used-board-game-1999.html?source=bgg","12847","Stops: Canadian Edition (1999) (used)","1","$0.01","$0.01","$39.95","99.97%"
"210000002223","074299427459","","https://www.usedgames.ca/survivor-used-board-game-2000.html?source=bgg","3623","Survivor (2000) (used)","1","$0.01","$0.01","$18.95","99.95%"
"210000002233","","","https://www.usedgames.ca/copy-of-slang-teasers-2nd-edition-1984.html?source=bgg","4574","Slang Teasers (1983)  (2nd Edition) (Made in 1984) (Green box)","1","$0.01","$0.01","$24.95","99.96%"
"210000002234","","","https://www.usedgames.ca/copy-of-slang-teasers-used-board-game-1985-a.html?source=bgg","4574","Slang Teasers (1983) (used) (Made in 1985) (A)","1","$0.01","$0.01","$19.95","99.95%"
"210000002236","","","https://www.usedgames.ca/copy-of-slang-teasers-used-board-game-1985-a.html","4574","Slang Teasers (1983) (used) (Made in 1985) (T)","1","$0.01","$0.01","$18.95","99.95%"
"210000002258","729220055057","","https://www.usedgames.ca/smash-up-the-big-geeky-box-2014-smash-up-munchkin.html?source=bgg","157427","Smash Up: The Big Geeky Box (2014) + 8 Expansions","1","$0.01","$0.01","$199.95","99.99%"
"210000002259","","","https://www.usedgames.ca/kroll-prumni-a-fight-between-galactic-empires-used.html","1649","Colonisator: The Twelve Planets' War (1979) (Kroll & Prumni: A Fight Between Galactic Empires) (Used)","1","$0.01","$0.01","$59.95","99.98%"
"210000002261","859580004027","","https://www.usedgames.ca/new-amsterdam-nis-2012.html","128898","New Amsterdam (2012) (NIS)","1","$0.01","$0.01","$34.95","99.97%"
"210000002262","736211951779","","https://www.usedgames.ca/onward-to-venus-used-board-game-2014-unpunched.html?source=bgg","158109","Onward to Venus (2014) (unpunched)","1","$0.01","$0.01","$19.95","99.95%"
"210000002263","4007880900020","","https://www.usedgames.ca/1835-used-board-game-1990.html?source=bgg","422","1835 (1990) (used)","1","$0.01","$0.01","$44.95","99.98%"
"210000002264","","","https://www.usedgames.ca/beep-beep-used-board-game-2008.html","38287","Beep! Beep! (2008) (used)","1","$0.01","$0.01","$9.95","99.9%"
"210000002265","4011898130614","","https://www.usedgames.ca/gloria-mundi-nis-board-game-2006-shrink-is-ripped.html?source=bgg","13286","Gloria Mundi (2006) (NIS)  (Shrink is ripped)","1","$0.01","$0.01","$19.95","99.95%"
"210000002266","85712003042","","https://www.usedgames.ca/tomorrow-used-board-game-2013.html?source=bgg","89342","Tomorrow (2013) (unpunched)","1","$0.01","$0.01","$69.95","99.99%"
"210000002268","3558380007180","","https://www.usedgames.ca/intrigo-board-game-2010-unpunched.html?source=bgg","65673","Masques (2010) (Intrigo)  (unpunched)","1","$0.01","$0.01","$9.95","99.9%"
"210000002272","","","https://www.usedgames.ca/en-garde-used-board-game-1986-64963601.html?source=bgg","5144","En Garde! (1986) (used)","1","$0.01","$0.01","$39.95","99.97%"
"210000002274","067233886023","","https://www.usedgames.ca/used-metal-chess-set-board-est-1970.html","171","Chess (1475) Used Metal Chess set + Board  (est 1970)","1","$0.01","$0.01","$39.95","99.97%"
